year,crab_ca_rec,crab_or_rec,barnacle_ca_rec,barnacle_or_rec,crab_ca_ad,crab_or_ad,barnacle_ca_ad,barnacle_or_ad,winter_ca,summer_ca,winter_or,summer_or
2000,3,1,15,20,13,1,41,28,,235,,69
2001,15,22,16,12,17,5,38,18,83,192,11,-11
2002,28,19,13,15,15,13,37,28,122,108,-26,44
2003,19,2,14,22,16,7,42,37,28,-50,17,78
2004,25,14,15,10,14,29,42,38,41,21,59,-31
2005,23,8,8,19,20,32,39,33,110,-49,89,64
2006,28,30,11,14,18,18,37,28,-121,57,2,-8
2007,17,24,10,13,16,36,35,28,-30,-2,58,-11
2008,10,8,8,9,20,36,35,34,-34,111,-29,-31
2009,6,30,12,9,18,39,31,35,-130,-78,78,-37
2010,22,12,5,18,18,10,39,30,59,-38,-61,68
2011,33,24,5,13,17,22,31,17,-190,-134,1,-15
2012,30,32,11,11,17,18,33,21,-186,45,-12,-10
2013,30,13,5,3,17,23,34,28,-49,1,-3,-86
2014,32,20,4,18,17,22,32,33,-198,72,10,27
2015,30,10,3,8,23,14,31,32,-233,-191,-74,-64
2016,1,25,9,5,18,40,32,21,-293,1,-61,-102
2017,12,13,10,3,19,36,34,15,-67,-193,-38,-92
2018,28,19,4,13,23,27,27,20,-53,68,-82,-6
2019,,,,,19,43,28,30,-188,,5,
